question_raw,canonical_tag,row_id,tag,status_reason,audit_status,reason_code,rationale,composite_score,audit_buffer,e5_margin,gemma_margin,token_alignment,artifact_score
"""একাউন্ট লক করা হয়েছে"" দেখাচ্ছে, সমাধান কী?",account_locked,1,account_locked,below_audit_buffer,,,,0.41110491682496203,False,-0.003954946994781494,0.03096461296081543,0.0,0.0
NID অনলাইন অ্যাকাউন্ট লকড আবার চেষ্টা করার সঠিক সময় কখন?,account_locked,2,account_locked,below_audit_buffer,,,,0.566046209614885,False,0.003116428852081299,0.03472369909286499,0.0,0.0
NID ওয়েব পোর্টালে অ্যাকাউন্ট লক; আনলক টাইমিং কী?,account_locked,7,account_locked,below_audit_buffer,,,,0.5127762544099236,False,0.0076580047607421875,0.07222938537597656,0.0,0.0
NID তে অ্যাকাউন্ট লক রিট্রাই ইন্টারভ্যাল কত?,account_locked,8,account_locked,below_audit_buffer,,,,0.385839124397927,False,0.008355498313903809,0.06843066215515137,0.0,0.0
NID তে লগইন ব্লক; কখন আবার চেষ্টা করবো?,account_locked,9,account_locked,below_audit_buffer,,,,0.5021242947134562,False,0.006089925765991211,0.025729596614837646,0.0,0.0
NID পোর্টালে লক ডিটেক্টেড; ব্যবহার শুরু করবো কীভাবে?,account_locked,10,account_locked,below_audit_buffer,,,,0.5459594102541775,False,0.008225798606872559,0.02132517099380493,0.0,0.0
NID লগইন অ্যাকাউন্ট লক; চালু করার নিয়ম কী?,account_locked,13,account_locked,below_audit_buffer,,,,0.513592831214492,False,0.007792651653289795,0.09735596179962158,0.0,0.0
NID লগইন ব্লক হলে কিভাবে খুলতে হয়?,account_locked,14,account_locked,below_audit_buffer,,,,0.5867096821517013,False,0.005420088768005371,0.0534098744392395,0.0,0.0
NID লগইন লক হলেই কি নির্দিষ্ট সময় পরে খুলে যায়?,account_locked,15,account_locked,below_audit_buffer,,,,0.4414081647612067,False,-0.0018524527549743652,-0.01070493459701538,0.0,0.0
NID সার্ভিসে ইউজার অ্যাকাউন্ট ব্লক; রিকভার কিভাবে করব?,account_locked,19,account_locked,below_audit_buffer,,,,0.5491364281856814,False,0.0034856796264648438,0.08810442686080933,0.0,0.0
NID সিস্টেমে অ্যাকাউন্ট লক কতক্ষণ পর ট্রাই করা উচিত?,account_locked,20,account_locked,below_audit_buffer,,,,0.49328955762806415,False,0.0017042756080627441,0.01995176076889038,0.0,0.0
NID সেবায় অ্যাক্সেস লক হলে আনলকের প্রক্রিয়া কী?,account_locked,21,account_locked,below_audit_buffer,,,,0.5757436986540018,False,0.005000293254852295,0.07823777198791504,0.0,0.0
