old_tag,canonical_tag,merged,merge_confidence,reason
accepted_nid_types,accepted_nid_types,False,0.0,canonical_or_unmerged
account_locked,account_locked,False,0.0,canonical_or_unmerged
account_locked_retrials,account_locked_retrials,False,0.0,canonical_or_unmerged
account_locked_retrials_2_followup_a,account_locked_retrials_2_followup_a,False,0.0,canonical_or_unmerged
account_locked_retrials_2_followup_b,account_locked_retrials_2_followup_b,False,0.0,canonical_or_unmerged
account_locked_retrials_2_followup_c,account_locked_retrials_2_followup_c,False,0.0,canonical_or_unmerged
account_locked_retrials_2_followup_d,account_locked_retrials_2_followup_d,False,0.0,canonical_or_unmerged
account_locked_retrials_followup_a,account_locked_retrials_followup_a,False,0.0,canonical_or_unmerged
account_locked_retrials_followup_b,account_locked_retrials_followup_b,False,0.0,canonical_or_unmerged
account_locked_retrials_followup_c,account_locked_retrials_followup_c,False,0.0,canonical_or_unmerged
account_locked_retrials_followup_d,account_locked_retrials_followup_d,False,0.0,canonical_or_unmerged
account_locked_unlock_request,account_locked_unlock_request,False,0.0,canonical_or_unmerged
account_locked_unlock_request_followup_a,account_locked_unlock_request_followup_a,False,0.0,canonical_or_unmerged
account_locked_unlock_request_followup_b,account_locked_unlock_request_followup_b,False,0.0,canonical_or_unmerged
account_locked_unlock_request_followup_c,account_locked_unlock_request_followup_c,False,0.0,canonical_or_unmerged
account_locked_unlock_request_followup_d,account_locked_unlock_request_followup_d,False,0.0,canonical_or_unmerged
address_cahgne_but_no_post_office_or_office_code,address_cahgne_but_no_post_office_or_office_code,False,0.0,canonical_or_unmerged
address_cahgne_but_no_post_office_or_office_code_followup_a,address_cahgne_but_no_post_office_or_office_code_followup_a,False,0.0,canonical_or_unmerged
address_cahgne_but_no_post_office_or_office_code_followup_b,address_cahgne_but_no_post_office_or_office_code_followup_b,False,0.0,canonical_or_unmerged
address_cahgne_but_no_post_office_or_office_code_followup_c,address_cahgne_but_no_post_office_or_office_code_followup_c,False,0.0,canonical_or_unmerged
address_cahgne_but_no_post_office_or_office_code_followup_d,address_cahgne_but_no_post_office_or_office_code_followup_d,False,0.0,canonical_or_unmerged
address_change_card_download_process,address_change_card_download_process,False,0.0,canonical_or_unmerged
address_change_card_download_process_followup_a,address_change_card_download_process_followup_a,False,0.0,canonical_or_unmerged
address_change_card_download_process_followup_b,address_change_card_download_process_followup_b,False,0.0,canonical_or_unmerged
address_change_card_download_process_followup_c,address_change_card_download_process_followup_c,False,0.0,canonical_or_unmerged
address_change_card_download_process_followup_d,address_change_card_download_process_followup_d,False,0.0,canonical_or_unmerged
address_change_counselor_chairperson_signature,address_change_counselor_chairperson_signature,False,0.0,canonical_or_unmerged
