question_raw,canonical_tag,row_id,tag,status_reason,audit_status,reason_code,rationale,composite_score,audit_buffer,e5_margin,gemma_margin,token_alignment,artifact_score
NID-তে নিজের নাম ঠিক করতে কী কী ডকুমেন্টস সাবমিট করতে হয়?,name_correction_in_nid_card,13006,name_correction_in_nid_card,below_audit_buffer,,,,0.491826643957989,False,0.008701741695404053,0.06499063968658447,0.0,0.0
আমার নাম ঠিক করতে কি কি কাগজ অ্যাটাচ করতে হবে?,name_correction_in_nid_card,13007,name_correction_in_nid_card,audited_flag,audited,too_generic,"শুধু 'আমার নাম ঠিক করতে' বলা হয়েছে; NID/জাতীয় পরিচয়পত্র বা নামের বানান প্রসঙ্গ নেই, তাই বহু ধরনের name correction-এ মিলে যেতে পারে।",0.5887388742728147,True,0.008479475975036621,0.08171188831329346,0.0,0.0
আমার নাম ঠিক করার আবেদনে কোন কোন দলিল বাধ্যতামূলক?,name_correction_in_nid_card,13008,name_correction_in_nid_card,below_audit_buffer,,,,0.5338450068144679,False,0.009850680828094482,0.11983799934387207,0.0,0.0
আমার নামের ইংরেজি স্পেলিং ঠিক করতে কী কী ডকুমেন্টস লাগবে?,name_correction_in_nid_card,13009,name_correction_in_nid_card,below_audit_buffer,,,,0.49912035087167306,False,0.012822985649108887,0.09174281358718872,0.0,0.0
আমার নামের বাংলা-ইংরেজি বানান মিলাতে কোন কোন কাগজ প্রয়োজন?,name_correction_in_nid_card,13010,name_correction_in_nid_card,below_audit_buffer,,,,0.5163414069224805,False,0.01443392038345337,0.09959375858306885,0.0,0.0
আমার নামের স্পেলিং ঠিক করতে কি কি সাপোর্টিং পেপার লাগবে?,name_correction_in_nid_card,13017,name_correction_in_nid_card,below_audit_buffer,,,,0.46377963801074595,False,0.009052932262420654,0.08469843864440918,0.0,0.0
আমার নিজের নামের বানান ঠিক করার জন্য কি কি কাগজ চাই?,name_correction_in_nid_card,13020,name_correction_in_nid_card,audited_flag,audited,duplicate,13019-এর খুব কাছাকাছি paraphrase: একইভাবে 'আমার নিজের নামের বানান ঠিক' করার জন্য কাগজ/কাগজপত্র চাওয়া হয়েছে।,0.6641887339988428,True,0.013262271881103516,0.12470036745071411,0.16666666666666666,0.0
এনআইডি কার্ডে নাম সংশোধনের জন্য প্রযোজ্য নথিপত্র কী কী?,name_correction_in_nid_card,13023,name_correction_in_nid_card,below_audit_buffer,,,,0.5077775477955845,False,0.003865480422973633,0.004909873008728027,0.0,0.0
এনআইডি কার্ডে নামের ভুল শুধরে নিতে কোন কাগজ জমা দিতে হবে?,name_correction_in_nid_card,13025,name_correction_in_nid_card,below_audit_buffer,,,,0.504624925671457,False,0.004303872585296631,-0.010416209697723389,0.0,0.0
এনআইডি কার্ডে নামের ভুল সংশোধনের কাগজপত্রের তালিকা দিন।,name_correction_in_nid_card,13026,name_correction_in_nid_card,below_audit_buffer,,,,0.4845760909040836,False,0.0011210441589355469,0.026145875453948975,0.0,0.0
