question_raw,canonical_tag,row_id,tag,status_reason,audit_status,reason_code,rationale,composite_score,audit_buffer,e5_margin,gemma_margin,token_alignment,artifact_score
"নির্বাচন কমিশনের পোস্টাল ভোট অ্যাপের নিশ্চিতকরণ কোড কি সঙ্গে সঙ্গে আসে, নাকি কয়েক মিনিট সময় লাগে?",otp_delivery_time,52701,otp_delivery_time,below_audit_buffer,,,,0.5502531378801552,False,0.01403510570526123,0.10151541233062744,0.14285714285714285,0.0
পোস্টাল ভোট BD-তে ওটিপি ডেলিভারি টাইম কত?,otp_delivery_time,52704,otp_delivery_time,below_audit_buffer,,,,0.539164284693649,False,0.014168083667755127,0.06321829557418823,0.0,0.0
Postal Vote BD থেকে পাঠানো যাচাইকরণ কোড কত সময়ের মধ্যে পাওয়া যায়?,otp_delivery_time,52710,otp_delivery_time,below_audit_buffer,,,,0.5341698578876698,False,0.013518095016479492,0.10097259283065796,0.0,0.0
Postal Vote BD-র OTP ডেলিভারি হতে কতটা বিলম্ব হতে পারে?,otp_delivery_time,52716,otp_delivery_time,below_audit_buffer,,,,0.533329547584401,False,0.010736167430877686,0.12089258432388306,0.14285714285714285,0.0
পোস্টাল ভোট BD অ্যাপের ওটিপি কি সাথে সাথে আসে?,otp_delivery_time,52717,otp_delivery_time,below_audit_buffer,,,,0.4213744996385653,False,-0.004326879978179932,-0.11478281021118164,0.0,0.0
পোস্টাল ভোট অ্যাপের ভেরিফিকেশন SMS কতক্ষণে ডেলিভার হয়?,otp_delivery_time,52722,otp_delivery_time,below_audit_buffer,,,,0.5485290045711374,False,0.016786694526672363,0.11115884780883789,0.0,0.0
নির্বাচন কমিশনের পোস্টাল ভোট অ্যাপে কোড কি ইনস্ট্যান্ট আসে?,otp_delivery_time,52723,otp_delivery_time,below_audit_buffer,,,,0.41249986605644945,False,-0.0009561777114868164,-0.08079487085342407,0.0,0.0
মোবাইলে পোস্টাল ভোট অ্যাপের সিকিউরিটি কোড কতটা দেরিতে আসে?,otp_delivery_time,52729,otp_delivery_time,below_audit_buffer,,,,0.5169047504507238,False,0.006656467914581299,0.13056403398513794,0.14285714285714285,0.0
পোস্টাল ভোট BD অ্যাপের SMS OTP কি সঙ্গে সঙ্গে পাওয়া যায়?,otp_delivery_time,52733,otp_delivery_time,below_audit_buffer,,,,0.4612319669522154,False,-0.0044553279876708984,-0.0673556923866272,0.14285714285714285,0.0
ইসি পোস্টাল ভোট অ্যাপে রেজিস্ট্রেশনের OTP কত তাড়াতাড়ি আসে?,otp_delivery_time,52736,otp_delivery_time,below_audit_buffer,,,,0.5508372531323867,False,0.010694801807403564,0.11819124221801758,0.14285714285714285,0.0
"পোস্টাল ভোট অ্যাপের নিশ্চিতকরণ SMS কখন পাওয়া যায় সাথে সাথে, নাকি একটু পর?",otp_delivery_time,52741,otp_delivery_time,below_audit_buffer,,,,0.5040076056139776,False,0.004069626331329346,0.06557446718215942,0.14285714285714285,0.0
পোস্টাল ভোটে ওটিপি এসএমএস আসতে সাধারণত কতক্ষণ লাগে?,otp_delivery_time,52742,otp_delivery_time,below_audit_buffer,,,,0.5512243810810572,False,0.02298581600189209,0.04540681838989258,0.0,0.0
Postal Vote BD ভেরিফিকেশন কোড কি দেরিতে আসে?,otp_delivery_time,52743,otp_delivery_time,below_audit_buffer,,,,0.47782166548083815,False,0.004165768623352051,0.08242213726043701,0.0,0.0
পোস্টাল ভোট অ্যাপের ওটিপি কি ইনস্ট্যান্ট না কয়েক মিনিট পরে?,otp_delivery_time,52754,otp_delivery_time,below_audit_buffer,,,,0.5228192751076214,False,0.013299524784088135,0.06916940212249756,0.0,0.0
ইসি পোস্টাল ভোটিং অ্যাপ থেকে আসা ওটিপি কত দ্রুত পাওয়া যায়?,otp_delivery_time,52763,otp_delivery_time,below_audit_buffer,,,,0.524784420059095,False,0.010238587856292725,0.1290745735168457,0.0,0.0
Postal Vote BD-এর নিশ্চিতকরণ কোড কি সঙ্গে সঙ্গে ডেলিভার হয়?,otp_delivery_time,52769,otp_delivery_time,below_audit_buffer,,,,0.42642307249592615,False,-0.0011396408081054688,-0.008599162101745605,0.14285714285714285,0.0
