question,tag_clean,rank,final_score,composite_score,production_recommended,audit_status,reason_code,row_id,original_tag,e5_margin,gemma_margin,token_alignment,artifact_score,rationale,review_decision,review_reason_code,review_rationale
পোস্টাল ভোট BD-তে SMS OTP ইনবক্সে আসতে আনুমানিক কতক্ষণ লাগে?,otp_delivery_time,1,0.7537596182319162,0.710305433214019,True,audited,clean,52700,otp_delivery_time,0.017995536327362,0.1045021414756774,0.2857142857142857,0.0,Self-contained question about how long an SMS OTP takes to arrive in the inbox for Postal Vote BD.,not_reviewed,,
পোস্টাল ভোট অ্যাপে OTP পেতে কি কয়েক মিনিট লাগতে পারে?,otp_delivery_time,2,0.6436916035678842,0.7079663260291601,True,audited,clean,52730,otp_delivery_time,0.021127700805664,0.0964531302452087,0.1428571428571428,0.0,"Clearly asks whether receiving the OTP in the Postal Vote app can take a few minutes, matching OTP delivery-time intent.",not_reviewed,,
পোস্টাল ভোটিং সিস্টেমের OTP পেতে আনুমানিক কত মিনিট অপেক্ষা করব?,otp_delivery_time,3,0.6419598098007905,0.7079899892159811,True,audited,clean,52757,otp_delivery_time,0.019500195980072,0.1166713833808898,0.2857142857142857,0.0,Directly asks the approximate waiting time to receive an OTP in the postal voting system.,not_reviewed,,
পোস্টাল ভোট বিডি অ্যাপে OTP আসতে কতক্ষণ সময় লাগে?,otp_delivery_time,4,0.6376259483410122,0.7040875801134805,True,audited,clean,47499,otp_delivery_time,0.016004741191864,0.0770263075828552,0.1428571428571428,0.0,Direct clean example asking how long OTP arrival takes in the Postal Vote BD app.,not_reviewed,,
পোস্টাল ভোট BD অ্যাপে OTP পেতে সাধারণত কতক্ষণ অপেক্ষা করতে হয়?,otp_delivery_time,5,0.6357135030702556,0.703393710665815,True,audited,clean,52697,otp_delivery_time,0.0161579251289367,0.0924426317214965,0.1428571428571428,0.0,Asks the usual wait time to get an OTP in the Postal Vote BD app; self-contained and on tag.,not_reviewed,,
নির্বাচন কমিশনের পোস্টাল ভোট অ্যাপের ওটিপি পেতে আনুমানিক সময় কত?,otp_delivery_time,6,0.6343545525365042,0.7010500094091237,True,audited,clean,52732,otp_delivery_time,0.0227286219596862,0.0969262719154357,0.1428571428571428,0.0,Asks the estimated time to receive the OTP for the Election Commission postal vote app.,not_reviewed,,
ইসি’র পোস্টাল ভোট সেবার OTP পাওয়ায় সাধারণত কেমন সময় লাগে?,otp_delivery_time,7,0.6307468193841392,0.6977170881271009,True,audited,clean,52755,otp_delivery_time,0.020965039730072,0.1265819072723388,0.1428571428571428,0.0,Intent is clear: asks the usual time needed to receive an OTP for the EC postal vote service.,not_reviewed,,
পোস্টাল ভোট BD OTP পৌঁছাতে কত সময় ধরে অপেক্ষা করতে হয়?,otp_delivery_time,8,0.6290170962960262,0.6971600801314367,True,audited,clean,52721,otp_delivery_time,0.016668677330017,0.0865206718444824,0.1428571428571428,0.0,Clearly asks how long to wait for a Postal Vote BD OTP to arrive.,not_reviewed,,
নির্বাচন কমিশনের পোস্টাল ভোট অ্যাপের OTP ইনবক্সে আসার সময় সাধারণত কত?,otp_delivery_time,9,0.625053883606016,0.6925562159789294,True,audited,clean,52786,otp_delivery_time,0.0190237164497375,0.070569097995758,0.2857142857142857,0.0,Asks the usual time for an OTP to arrive in the inbox for the Election Commission postal vote app.,not_reviewed,,
পোস্টাল ভোট BD OTP আসতে কত মিনিট সময় নেয় সাধারণত?,otp_delivery_time,10,0.6222251545818825,0.6907329970454708,True,audited,clean,52766,otp_delivery_time,0.0140734314918518,0.0874199271202087,0.1428571428571428,0.0,Self-contained question about how many minutes a Postal Vote BD OTP usually takes to arrive.,not_reviewed,,
পোস্টাল ভোট BD-র যাচাইকরণ OTP ইনবক্সে আসতে সময় কত?,otp_delivery_time,11,0.6217080546836901,0.6899740329409904,True,audited,clean,52728,otp_delivery_time,0.0140390396118164,0.0621823072433471,0.2857142857142857,0.0,Asks how long a verification OTP takes to arrive in the inbox for Postal Vote BD.,not_reviewed,,
পোস্টাল ভোট অ্যাপের সিকিউরিটি কোড আসতে প্রায় কতক্ষণ লাগে?,otp_delivery_time,12,0.6156503158672773,0.6820263948856226,True,audited,clean,52705,otp_delivery_time,0.0142588019371032,0.0968865156173706,0.2857142857142857,0.0,Security code arrival time for the Postal Vote app fits the OTP/confirmation code delivery-time tag.,not_reviewed,,
পোস্টাল ভোট BD অ্যাপ থেকে OTP রিসিভ হতে সাধারণত কত মিনিট লাগে?,otp_delivery_time,13,0.6099553467626279,0.6797912397839929,True,audited,clean,52746,otp_delivery_time,0.01094651222229,0.042831540107727,0.1428571428571428,0.0,Directly asks how many minutes it usually takes to receive OTP from the Postal Vote BD app.,not_reviewed,,
পোস্টাল ভোটের জন্য পাঠানো ভেরিফিকেশন কোড আসতে গড়ে কত মিনিট লাগে?,otp_delivery_time,14,0.6089011298053103,0.6775403133153809,True,audited,clean,52734,otp_delivery_time,0.0184588432312011,0.0925318002700805,0.1428571428571428,0.0,Verification code sent for postal vote and its average arrival time clearly matches the tag.,not_reviewed,,
পোস্টাল ভোট BD অ্যাপে নিশ্চিতকরণ কোড ইনবক্সে আসতে কতক্ষণ ধরে সময় নেয়?,otp_delivery_time,15,0.607051884500591,0.6759834359424816,True,audited,clean,52756,otp_delivery_time,0.0124983191490173,0.0548611283302307,0.1428571428571428,0.0,"Despite slightly wordy phrasing, it clearly asks how long a confirmation code takes to arrive in the inbox.",not_reviewed,,
পোস্টাল ভোট সিস্টেমে OTP আসার গড় সময় কত?,otp_delivery_time,16,0.6066739101278241,0.6762205112478518,True,audited,clean,52718,otp_delivery_time,0.0184418559074401,0.0877162218093872,0.1428571428571428,0.0,Asks the average arrival time of an OTP in the postal vote system; clean and self-contained.,not_reviewed,,
ইসি’র পোস্টাল ভোটিং অ্যাপ থেকে পাঠানো OTP কতক্ষণে মিলে?,otp_delivery_time,17,0.6049422366885996,0.6746194211396718,True,audited,clean,52727,otp_delivery_time,0.0157425999641418,0.0865411758422851,0.1428571428571428,0.0,Asks how long it takes to receive an OTP sent from the EC postal voting app.,not_reviewed,,
ইসি’র পোস্টাল ভোট বিডি অ্যাপ থেকে ভেরিফিকেশন কোড আসতে কতটা সময় লাগে?,otp_delivery_time,18,0.6039601538772996,0.6738002719670682,True,audited,clean,52699,otp_delivery_time,0.0158401727676391,0.0976600050926208,0.1428571428571428,0.0,Asks the time required for a verification code to arrive from the EC Postal Vote BD app.,not_reviewed,,
Postal Vote BD অ্যাপের সিকিউরিটি কোড আসতে কতটা সময় ধরে অপেক্ষা করতে হয়?,otp_delivery_time,19,0.5974673700858179,0.6681801571694634,True,audited,clean,52783,otp_delivery_time,0.0089344978332519,0.0800244808197021,0.2857142857142857,0.0,Security code arrival wait time for the Postal Vote BD app is directly within this tag.,not_reviewed,,
পোস্টাল ভোট অ্যাপে কোড জেনারেট হওয়ার পর ফোনে পৌঁছাতে কতক্ষণ লাগে?,otp_delivery_time,20,0.5958458033537135,0.6660734280286824,True,audited,clean,52747,otp_delivery_time,0.0183096528053283,0.0903690457344055,0.0,0.0,"Asks how long a generated code takes to reach the phone in the Postal Vote app, matching code delivery time.",not_reviewed,,
পোস্টাল ভোট BD অ্যাপে কোড পেতে কি ২–৩ মিনিটের মতো অপেক্ষা করতে হয়?,otp_delivery_time,21,0.5952947549264617,0.6650413332814961,True,audited,clean,52771,otp_delivery_time,0.0163383483886718,0.0863157510757446,0.1428571428571428,0.0,Asks whether receiving the code in the Postal Vote BD app requires a 2–3 minute wait.,not_reviewed,,
পোস্টাল ভোটিং অ্যাপে সিকিউরিটি কোড পেতে কতক্ষণ ধৈর্য ধরতে হবে?,otp_delivery_time,22,0.5926139361187801,0.6643725140946325,True,audited,clean,52719,otp_delivery_time,0.0119605064392089,0.0895267128944397,0.2857142857142857,0.0,Asks how long to wait to get a security code in the postal voting app; clear tag fit.,not_reviewed,,
পোস্টাল ভোটিং অ্যাপের একবারের কোড পৌঁছাতে কত মিনিট সময় লাগে?,otp_delivery_time,23,0.5917660930113184,0.6631146558137577,True,audited,clean,52739,otp_delivery_time,0.0179110169410705,0.0702103972434997,0.0,0.0,One-time code delivery time for the postal voting app is effectively OTP delivery time.,not_reviewed,,
ইসি পোস্টাল ভোট অ্যাপে কোড ডেলিভারি হতে আনুমানিক কতক্ষণ সময় নেয়?,otp_delivery_time,24,0.5908610909749195,0.6619654755436581,True,audited,clean,52794,otp_delivery_time,0.0218906998634338,0.0943962931632995,0.0,0.0,"Asks the estimated code delivery time in the EC postal vote app, which matches OTP/security-code timing.",not_reviewed,,
Postal Vote BD-এর OTP কি মিনিট খানেক পর আসে?,otp_delivery_time,25,0.5889973766629059,0.6597040431680208,True,audited,clean,52748,otp_delivery_time,0.0178191661834716,0.0722987651824951,0.1428571428571428,0.0,"Directly asks whether the Postal Vote BD OTP arrives after about a minute, which is about OTP delivery time.",not_reviewed,,
পোস্টাল ভোট BD-তে কোড পৌঁছাতে সাধারণত কতক্ষণ লাগে বলবেন?,otp_delivery_time,26,0.5882392576024436,0.6596936883639954,True,audited,clean,52761,otp_delivery_time,0.0138037204742431,0.0752230286598205,0.0,0.0,"Asks how long it usually takes for the code to reach Postal Vote BD, fitting code delivery time.",not_reviewed,,
পোস্টাল ভোট BD-তে OTP না এলে কতক্ষণ অপেক্ষা করা উচিত?,otp_delivery_time,27,0.5881503861880063,0.6607091916863842,True,audited,clean,52724,otp_delivery_time,0.0093779563903808,0.0560770630836486,0.1428571428571428,0.0,"Asks how long to wait if the OTP has not arrived in Postal Vote BD, matching OTP delivery/wait time intent.",not_reviewed,,
পোস্টাল ভোট BD অ্যাপ থেকে নিশ্চিতকরণ SMS পেতে সাধারণত কত মিনিট লাগে?,otp_delivery_time,28,0.586628566956714,0.6575039950454503,True,audited,clean,52795,otp_delivery_time,0.0088626742362976,0.0931507349014282,0.1428571428571428,0.0,"Asks how many minutes it usually takes to receive a confirmation SMS from the Postal Vote BD app, aligned with confirmation code delivery timing.",not_reviewed,,
Postal Vote BD অ্যাপ থেকে OTP কি সাথে সাথে না এসে একটু সময় নেয়?,otp_delivery_time,29,0.5845663535259118,0.6559245251160939,True,audited,clean,52758,otp_delivery_time,0.0128939747810363,0.0493541955947876,0.1428571428571428,0.0,"Asks whether the OTP from the app comes immediately or takes some time, which is a delivery-time question.",not_reviewed,,
Postal Vote BD-তে SMS OTP পাওয়ার গড় সময় কত মিনিট?,otp_delivery_time,30,0.5825538911057337,0.6537358517567674,True,audited,clean,52792,otp_delivery_time,0.0107040405273437,0.1055024266242981,0.1428571428571428,0.0,Clearly asks the average time in minutes to receive an SMS OTP for Postal Vote BD.,not_reviewed,,
